**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots	Image File Name
268	event-hubs	articles/event-hubs/event-hubs-auto-inflate.md	2	0	
269	event-hubs	articles/event-hubs/event-hubs-c-ephcs-getstarted.md	2	0	
270	event-hubs	articles/event-hubs/event-hubs-capture-enable-through-portal.md	4	0	
271	event-hubs	articles/event-hubs/event-hubs-capture-overview.md	1	0	
272	event-hubs	articles/event-hubs/event-hubs-create.md	7	1	create-event-hub1.png
273	event-hubs	articles/event-hubs/event-hubs-create-kafka-enabled.md	2	0	
274	event-hubs	articles/event-hubs/event-hubs-csharp-ephcs-getstarted.md	4	0	
275	event-hubs	articles/event-hubs/event-hubs-diagnostic-logs.md	3	0	
276	event-hubs	articles/event-hubs/event-hubs-dotnet-framework-getstarted-receive-eph.md	6	1	create-storage2.png
277	event-hubs	articles/event-hubs/event-hubs-dotnet-framework-getstarted-send.md	2	0	
278	event-hubs	articles/event-hubs/event-hubs-dotnet-standard-getstarted-receive-eph.md	2	0	
279	event-hubs	articles/event-hubs/event-hubs-dotnet-standard-getstarted-send.md	1	0	
280	event-hubs	articles/event-hubs/event-hubs-features.md	5	0	
281	event-hubs	articles/event-hubs/event-hubs-geo-dr.md	3	0	
282	event-hubs	articles/event-hubs/event-hubs-get-started-receive-storm.md	1	0	
283	event-hubs	articles/event-hubs/event-hubs-kafka-mirror-maker-tutorial.md	1	0	
284	event-hubs	articles/event-hubs/event-hubs-managed-service-identity.md	3	0	
285	event-hubs	articles/event-hubs/event-hubs-metrics-azure-monitor.md	2	0	
286	event-hubs	articles/event-hubs/event-hubs-programming-guide.md	1	0	
287	event-hubs	articles/event-hubs/event-hubs-quickstart-cli.md	1	0	
288	event-hubs	articles/event-hubs/event-hubs-quickstart-portal.md	11	1	create-storage2.png
289	event-hubs	articles/event-hubs/event-hubs-quickstart-powershell.md	3	0	
290	event-hubs	articles/event-hubs/event-hubs-resource-manager-namespace-event-hub.md	1	0	
291	event-hubs	articles/event-hubs/event-hubs-role-based-access-control.md	1	0	
292	event-hubs	articles/event-hubs/event-hubs-streaming-azure-diags-data.md	1	0	
293	event-hubs	articles/event-hubs/event-hubs-tutorial-visualize-anomalies.md	14	0	
294	event-hubs	articles/event-hubs/event-hubs-what-is-event-hubs.md	1	0	
295	event-hubs	articles/event-hubs/index.md	15	0	
296	load-balancer	articles/load-balancer/create-public-ip-availability-zone-portal.md	1	0	
297	load-balancer	articles/load-balancer/index.md	14	0	
298	load-balancer	articles/load-balancer/load-balancer-arm.md	1	0	
299	load-balancer	articles/load-balancer/load-balancer-configure-ha-ports.md	2	0	
300	load-balancer	articles/load-balancer/load-balancer-configure-sqlao.md	1	0	
301	load-balancer	articles/load-balancer/load-balancer-distribution-mode.md	2	0	
302	load-balancer	articles/load-balancer/load-balancer-get-started-ilb-arm-cli.md	1	0	
303	load-balancer	articles/load-balancer/load-balancer-get-started-internet-arm-cli.md	1	0	
304	load-balancer	articles/load-balancer/load-balancer-get-started-internet-availability-zones-zonal-portal.md	1	0	
305	load-balancer	articles/load-balancer/load-balancer-get-started-internet-az-portal.md	1	0	
306	load-balancer	articles/load-balancer/load-balancer-get-started-internet-portal.md	11	0	
307	load-balancer	articles/load-balancer/load-balancer-ha-ports-overview.md	1	0	
