**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots	Image Status	Image File Name
128	azure-resource-manager	articles/azure-resource-manager/resource-manager-policy-portal.md	10	0	Pending	
129	azure-resource-manager	articles/azure-resource-manager/resource-manager-quickstart-create-templates-use-the-portal.md	8	3	Reviewed	azure-resource-manager-template-tutorial-create-storage-account-template-parameters.png;azure-resource-manager-template-tutorial-create-storage-account-template.png;azure-resource-manager-template-tutorial-create-storage-account.png
130	azure-resource-manager	articles/azure-resource-manager/resource-manager-quickstart-create-templates-use-visual-studio-code.md	6	0	Pending	
131	azure-resource-manager	articles/azure-resource-manager/resource-manager-quota-errors.md	5	0	Pending	
132	azure-resource-manager	articles/azure-resource-manager/resource-manager-register-provider-errors.md	2	0	Pending	
133	azure-resource-manager	articles/azure-resource-manager/resource-manager-sequential-loop.md	1	0	Pending	
134	azure-resource-manager	articles/azure-resource-manager/resource-manager-sku-not-available-errors.md	1	0	Pending	
135	azure-resource-manager	articles/azure-resource-manager/resource-manager-supported-services.md	10	0	Pending	
136	azure-resource-manager	articles/azure-resource-manager/resource-manager-template-best-practices.md	1	0	Pending	
137	azure-resource-manager	articles/azure-resource-manager/resource-manager-tutorial-create-encrypted-storage-accounts.md	11	0	Pending	
138	azure-resource-manager	articles/azure-resource-manager/resource-manager-tutorial-create-templates-with-dependent-resources.md	7	0	Pending	
139	azure-resource-manager	articles/azure-resource-manager/resource-manager-update.md	2	0	Pending	
140	azure-resource-manager	articles/azure-resource-manager/templates-cloud-consistency.md	3	0	Pending	
141	azure-resource-manager	articles/azure-resource-manager/vs-azure-tools-resource-groups-deployment-projects-create-deploy.md	32	0	Pending	
142	container-registry	articles/container-registry/container-registry-authentication.md	1	0	Pending	
143	container-registry	articles/container-registry/container-registry-best-practices.md	2	0	Pending	
144	container-registry	articles/container-registry/container-registry-content-trust.md	3	0	Pending	
145	container-registry	articles/container-registry/container-registry-delete.md	1	0	Pending	
146	container-registry	articles/container-registry/container-registry-event-grid-quickstart.md	3	0	Pending	
147	container-registry	articles/container-registry/container-registry-geo-replication.md	6	0	Pending	
148	container-registry	articles/container-registry/container-registry-get-started-azure-cli.md	1	0	Pending	
149	container-registry	articles/container-registry/container-registry-get-started-docker-cli.md	1	0	Pending	
150	container-registry	articles/container-registry/container-registry-get-started-portal.md	15	0	Pending	
151	container-registry	articles/container-registry/container-registry-get-started-powershell.md	1	0	Pending	
152	container-registry	articles/container-registry/container-registry-repositories.md	1	0	Pending	
153	container-registry	articles/container-registry/container-registry-skus.md	1	0	Pending	
154	container-registry	articles/container-registry/container-registry-tutorial-base-image-update.md	2	0	Pending	
155	container-registry	articles/container-registry/container-registry-tutorial-build-tasks.md	2	0	Pending	
156	container-registry	articles/container-registry/container-registry-tutorial-deploy-app.md	9	0	Pending	
157	container-registry	articles/container-registry/container-registry-tutorial-deploy-update.md	5	0	Pending	
158	container-registry	articles/container-registry/container-registry-tutorial-prepare-registry.md	7	0	Pending	
159	container-registry	articles/container-registry/container-registry-tutorial-quick-build.md	2	0	Pending	
160	container-registry	articles/container-registry/container-registry-upgrade.md	4	0	Pending	
161	container-registry	articles/container-registry/container-registry-webhook.md	2	0	Pending	
162	container-registry	articles/container-registry/index.md	8	0	Pending	
163	cosmos-db	articles/cosmos-db/20-days-of-tips.md	5	0	Pending	
164	cosmos-db	articles/cosmos-db/bulk-executor-overview.md	1	0	Pending	
165	cosmos-db	articles/cosmos-db/cassandra-import-data.md	1	0	Pending	
166	cosmos-db	articles/cosmos-db/cassandra-introduction.md	2	0	Pending	
167	cosmos-db	articles/cosmos-db/change-feed.md	7	0	Pending	
168	cosmos-db	articles/cosmos-db/change-feed-hl7-fhir-logic-apps.md	8	0	Pending	
169	cosmos-db	articles/cosmos-db/changefeed-ecommerce-solution.md	8	0	Pending	
170	cosmos-db	articles/cosmos-db/connect-mongodb-account.md	2	0	Pending	
171	cosmos-db	articles/cosmos-db/consistency-levels.md	2	0	Pending	
172	cosmos-db	articles/cosmos-db/create-cassandra-dotnet.md	4	0	Pending	
173	cosmos-db	articles/cosmos-db/create-cassandra-java.md	3	0	Pending	
174	cosmos-db	articles/cosmos-db/create-cassandra-nodejs.md	4	0	Pending	
175	cosmos-db	articles/cosmos-db/create-cassandra-python.md	4	0	Pending	
176	cosmos-db	articles/cosmos-db/create-graph-dotnet.md	5	0	Pending	
177	cosmos-db	articles/cosmos-db/create-graph-gremlin-console.md	3	0	Pending	
178	cosmos-db	articles/cosmos-db/create-graph-java.md	9	0	Pending	
179	cosmos-db	articles/cosmos-db/create-graph-nodejs.md	2	0	Pending	
180	cosmos-db	articles/cosmos-db/create-graph-php.md	8	0	Pending	
181	cosmos-db	articles/cosmos-db/create-graph-python.md	8	0	Pending	
182	cosmos-db	articles/cosmos-db/create-mongodb-golang.md	3	0	Pending	
183	cosmos-db	articles/cosmos-db/create-mongodb-nodejs.md	3	0	Pending	
184	cosmos-db	articles/cosmos-db/create-sql-api-dotnet.md	3	0	Pending	
185	cosmos-db	articles/cosmos-db/create-sql-api-dotnet-core.md	7	0	Pending	
186	cosmos-db	articles/cosmos-db/create-sql-api-java.md	4	0	Pending	
187	cosmos-db	articles/cosmos-db/create-sql-api-python.md	3	0	Pending	
188	cosmos-db	articles/cosmos-db/create-sql-api-xamarin-dotnet.md	11	0	Pending	
189	cosmos-db	articles/cosmos-db/create-table-dotnet.md	11	0	Pending	
190	cosmos-db	articles/cosmos-db/create-table-java.md	1	0	Pending	
191	cosmos-db	articles/cosmos-db/create-table-nodejs.md	1	0	Pending	
192	cosmos-db	articles/cosmos-db/create-table-python.md	1	0	Pending	
